3E 72 5B 47 CA E0 00 33 04 D1 54 98 09 B9 6D CB
7B 1B F9 32 AF 9D 6A A5 B8 2D FC 1D 08 53 03 90
4D 4E 84 99 E4 CE D9 91 DD B6 85 48 8B 29 6E AC
CD C1 F8 1E 73 43 69 C6 B5 BD FD 39 63 20 D4 38
76 7D B2 A7 CF ED 57 C5 F3 2C BB 14 21 06 55 9B
E3 EF 5E 31 4F 7F 5A A4 0D 82 51 49 5F BA 58 1C
4A 16 D5 17 A8 92 24 1F 8C FF D8 AE 2E 01 D3 AD
3B 4B DA 46 EB C9 DE 9A 8F 87 D7 3A 80 6F 2F C8
B1 B4 37 F7 0A 22 13 28 7C CC 3C 89 C7 C3 96 56
07 BF 7E F0 0B 2B 97 52 35 41 79 61 A6 4C 10 FE
BC 26 95 88 8A B0 A3 FB C0 18 94 F2 E1 E5 E9 5D
D0 DC 11 66 64 5C EC 59 42 75 12 F5 74 9C AA 23
0E 86 AB BE 2A 02 E7 67 E6 44 A2 6C C2 93 9F F1 
F6 FA 36 D2 50 68 9E 62 71 15 3D D6 40 C4 E2 0F
8E 83 77 6B 25 05 3F 0C 30 EA 70 B7 A1 E8 A9 65
8D 27 1A DB 81 B3 A0 F4 45 7A 19 DF EE 78 34 60
